Threshold 10,Threshold 20,Threshold 30,F2 10,F2 20,F2 30,Precision 10,Precision 20,Precision 30,Recall 10,Recall 20,Recall 30,FN 10,FN 20,FN 30,FP 10,FP 20,FP 30,Weighted F2,Mean precision,Mean recall,Total false negatives,Total false positives
0.3,0.3,0.3,0.933179723502304,0.9416767922235723,0.9315746084089035,0.7788461538461539,0.8031088082901554,0.7985865724381626,0.9818181818181818,0.9841269841269841,0.9720430107526882,3,5,13,46,76,114,0.9354078211000045,0.7935138448581572,0.979329392232618,21,236
0.3,0.28,0.19,0.933179723502304,0.9412832929782083,0.9320663162151235,0.7788461538461539,0.7933673469387755,0.7520391517128875,0.9818181818181818,0.9873015873015873,0.9913978494623656,3,4,4,46,81,152,0.9353881128876391,0.7747508841659391,0.9868392061940451,11,279
0.27,0.27,0.26,0.9324942791762013,0.9401451027811366,0.9353254195661074,0.7616822429906542,0.7893401015228426,0.7838765008576329,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,83,126,0.9353557543356632,0.7782996151237099,0.9859920247017021,14,260
0.28,0.27,0.26,0.9324942791762013,0.9401451027811366,0.9353254195661074,0.7616822429906542,0.7893401015228426,0.7838765008576329,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,83,126,0.9353557543356632,0.7782996151237099,0.9859920247017021,14,260
0.3,0.26,0.25,0.933179723502304,0.9397590361445785,0.9341782502044155,0.7788461538461539,0.78,0.7798634812286689,0.9818181818181818,0.9904761904761905,0.9827956989247312,3,3,8,46,88,129,0.9353532226354087,0.7795698783582742,0.9850300237397013,14,263
0.3,0.3,0.22,0.933179723502304,0.9416767922235723,0.931272875152501,0.7788461538461539,0.8031088082901554,0.7646076794657763,0.9818181818181818,0.9841269841269841,0.9849462365591398,3,5,7,46,76,141,0.935347474448724,0.7821875472006953,0.9836304675014352,15,263
0.3,0.28,0.18,0.933179723502304,0.9412832929782083,0.9318273497377975,0.7788461538461539,0.7933673469387755,0.7463651050080775,0.9818181818181818,0.9873015873015873,0.9935483870967742,3,4,3,46,81,157,0.935340319592174,0.7728595352643356,0.9875560520721812,10,284
0.3,0.29,0.16,0.933179723502304,0.9424242424242424,0.9300924065889916,0.7788461538461539,0.7974358974358975,0.7360890302066773,0.9818181818181818,0.9873015873015873,0.9956989247311828,3,4,2,46,79,166,0.935335615796223,0.7707903604962429,0.9882728979503174,9,291
0.29,0.29,0.26,0.9310344827586207,0.9424242424242424,0.9353254195661074,0.7714285714285715,0.7974358974358975,0.7838765008576329,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,48,79,126,0.9353095980198045,0.7842469899073673,0.9839718226815002,15,253
0.3,0.29,0.2,0.933179723502304,0.9424242424242424,0.9299027552674232,0.7788461538461539,0.7974358974358975,0.7549342105263158,0.9818181818181818,0.9873015873015873,0.9870967741935484,3,4,6,46,79,149,0.9352976855319094,0.7770720872694558,0.9854055144377725,13,274
0.3,0.28,0.17,0.933179723502304,0.9412832929782083,0.9315895372233401,0.7788461538461539,0.7933673469387755,0.7408,0.9818181818181818,0.9873015873015873,0.9956989247311828,3,4,2,46,81,162,0.9352927570892825,0.7710045002616431,0.9882728979503174,9,289
0.3,0.3,0.23,0.933179723502304,0.9416767922235723,0.930753564154786,0.7788461538461539,0.8031088082901554,0.7680672268907563,0.9818181818181818,0.9841269841269841,0.9827956989247312,3,5,8,46,76,138,0.935243612249181,0.7833407296756886,0.982913621623299,16,260
0.3,0.27,0.24,0.933179723502304,0.9401451027811366,0.9330338913842384,0.7788461538461539,0.7893401015228426,0.7758913412563667,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,83,132,0.9352401708623407,0.7813591988751211,0.9839718226815002,15,261
0.27,0.26,0.26,0.9324942791762013,0.9397590361445785,0.9353254195661074,0.7616822429906542,0.78,0.7838765008576329,0.9878787878787879,0.9904761904761905,0.9827956989247312,2,3,8,51,88,126,0.9352399343446958,0.775186247949429,0.9870502257599032,13,265
0.28,0.26,0.26,0.9324942791762013,0.9397590361445785,0.9353254195661074,0.7616822429906542,0.78,0.7838765008576329,0.9878787878787879,0.9904761904761905,0.9827956989247312,2,3,8,51,88,126,0.9352399343446958,0.775186247949429,0.9870502257599032,13,265
0.28,0.28,0.24,0.9324942791762013,0.9412832929782083,0.9330338913842384,0.7616822429906542,0.7933673469387755,0.7758913412563667,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,81,132,0.9352389057584108,0.7769803103952655,0.9859920247017021,14,264
0.3,0.28,0.22,0.933179723502304,0.9412832929782083,0.931272875152501,0.7788461538461539,0.7933673469387755,0.7646076794657763,0.9818181818181818,0.9873015873015873,0.9849462365591398,3,4,7,46,81,141,0.9352294246751147,0.7789403934169018,0.9846886685596363,14,268
0.29,0.28,0.27,0.9310344827586207,0.9412832929782083,0.9364754098360656,0.7714285714285715,0.7933673469387755,0.7879310344827586,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,48,81,123,0.935197311239986,0.7842423176167018,0.9839718226815002,15,252
0.27,0.27,0.25,0.9324942791762013,0.9401451027811366,0.9341782502044155,0.7616822429906542,0.7893401015228426,0.7798634812286689,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,83,129,0.9351263204633248,0.7769619419140552,0.9859920247017021,14,263
0.28,0.27,0.25,0.9324942791762013,0.9401451027811366,0.9341782502044155,0.7616822429906542,0.7893401015228426,0.7798634812286689,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,83,129,0.9351263204633248,0.7769619419140552,0.9859920247017021,14,263
