Candidate,Safety offset,MAE,RMSE,R2,NASA Score,Near-failure MAE,Late prediction rate,Maximum overprediction,Mean residual
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",56.0,56.64956626913768,77.81484869324412,0.5087221834013442,19378486416.899857,14.50820075465454,0.16268980477223427,148.07518934675454,-47.05764413579926
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",58.0,57.674810729333636,78.92927887808744,0.4945496873340799,22599869266.970314,14.604438249634425,0.153470715835141,146.07518934675454,-48.717186706520366
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",60.0,58.718524472723836,80.0612133767561,0.4799482822414247,26357272614.39583,14.665949790775024,0.14642082429501085,144.07518934675454,-50.36184724053887
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",62.0,59.780652852419585,81.20776576937935,0.4649463589200198,30739792797.927666,14.724130884909654,0.136117136659436,142.07518934675454,-51.99208787832464
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",64.0,60.87020355791935,82.37165001494454,0.44949948357096137,35851355028.570755,14.781094392357701,0.1309652928416486,140.07518934675454,-53.61280210151973
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",66.0,61.979704651118105,83.55130041891651,0.4336190636536381,41813174938.38859,14.825212666043022,0.12066160520607375,138.07518934675454,-55.22347716742565
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",68.0,63.1111425320057,84.74522001304214,0.4173166309457238,48766633564.036865,14.864194401812714,0.11306941431670282,136.07518934675454,-56.82252572493936
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",70.0,64.25938646049238,85.95249325720495,0.40059666153437057,56876629424.67052,14.893567961587443,0.10764642082429501,134.07518934675454,-58.409632101067295
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",72.0,65.4146112053909,87.17048228772376,0.38348862045315646,66335489960.70487,14.913619121876712,0.10140997830802603,132.07518934675454,-59.98205044369008
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",74.0,66.57554660460528,88.39958861953005,0.365980394609007,77367532144.36696,14.929492671189855,0.09761388286334056,130.07518934675454,-61.54233790950469
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",76.0,67.74693802650363,89.6401937202305,0.3480597834483595,90234381805.93721,14.959689837737907,0.09164859002169197,128.07518934675454,-63.09251080268195
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",78.0,68.92565161620219,90.88752134166714,0.3297902850113329,105241177164.84836,14.979767229548212,0.08703904555314533,126.07518934675454,-64.62758370740643
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",80.0,70.11095084184345,92.14205781042348,0.3111605459803224,122743805147.46196,14.991240207822647,0.08270065075921909,124.07518934675454,-66.14964061667365
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",82.0,71.3014479471438,93.40438249930878,0.2921573825754902,143157344271.25284,14.992305028979645,0.07836225596529284,122.07518934675454,-67.66051300980838
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",84.0,72.49469682797204,94.67090549594501,0.27283115830864735,166965902597.7153,14.995623782692705,0.0737527114967462,120.07518934675454,-69.15699993292928
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",86.0,73.68925719600664,95.942713035576,0.25316237386653695,194734108192.92545,14.999924857961522,0.07131236442516269,118.07518934675454,-70.6406365274663
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",88.0,74.89086106841897,97.22311371778781,0.23309556132417286,227120494410.32687,15.0,0.06616052060737528,116.07518934675454,-72.11606742260831
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",90.0,76.09629289068003,98.50703889411086,0.2127063865196115,264893096487.09396,15.0,0.06317787418655098,114.07518934675454,-73.57875393643756
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",92.0,77.30119007963877,99.79470302519,0.19198917372094337,308947704988.9085,15.0,0.05911062906724512,112.07518934675454,-75.02891394760806
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",94.0,78.50719770053672,101.08538298426781,0.1709534406213964,360329071120.32825,15.0,0.055856832971800434,110.07518934675454,-76.46642149553148
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",96.0,79.71951047380487,102.37787552907254,0.14961728148686726,420255740247.5775,15.0,0.0509761388286334,108.07518934675454,-77.89071032521737
