Model,Horizon,Threshold,Samples,Positive rate,Predicted positive rate,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True negatives,False positives,False negatives,True positives,F2
Calibrated Logistic,20,0.31,3062,0.10287393860222077,0.12508164598301763,0.9745264532984977,0.8093994778067886,0.9841269841269841,0.8882521489971347,0.9972553030434356,0.9764091058349069,2674,73,5,310,0.9433962264150942
Calibrated Logistic,20,0.32,3062,0.10287393860222077,0.124101894186806,0.9748530372305683,0.8131578947368421,0.9809523809523809,0.8892086330935252,0.9972553030434356,0.9764091058349069,2676,71,6,309,0.9420731707317073
Calibrated Logistic,20,0.33,3062,0.10287393860222077,0.12312214239059438,0.9758327890267798,0.8196286472148541,0.9809523809523809,0.8930635838150289,0.9972553030434356,0.9764091058349069,2679,68,6,309,0.9437996334758706
Calibrated Logistic,20,0.34,3062,0.10287393860222077,0.12181580666231222,0.977139124755062,0.8284182305630027,0.9809523809523809,0.8982558139534884,0.9972553030434356,0.9764091058349069,2683,64,6,309,0.9461114513165952
Calibrated Logistic,20,0.35,3062,0.10287393860222077,0.12083605486610059,0.9781188765512737,0.8351351351351352,0.9809523809523809,0.9021897810218978,0.9972553030434356,0.9764091058349069,2686,61,6,309,0.9478527607361964
Calibrated Logistic,20,0.36,3062,0.10287393860222077,0.1201828870019595,0.9781188765512737,0.8369565217391305,0.9777777777777777,0.9019033674963397,0.9972553030434356,0.9764091058349069,2687,60,7,308,0.945945945945946
Calibrated Logistic,20,0.37,3062,0.10287393860222077,0.11887655127367734,0.9787720444154148,0.8434065934065934,0.9746031746031746,0.9042709867452136,0.9972553030434356,0.9764091058349069,2690,57,8,307,0.9451970443349754
Calibrated Logistic,20,0.38,3062,0.10287393860222077,0.11822338340953625,0.9787720444154148,0.8453038674033149,0.9714285714285714,0.9039881831610044,0.9972553030434356,0.9764091058349069,2691,56,9,306,0.9432799013563502
Calibrated Logistic,20,0.39,3062,0.10287393860222077,0.11724363161332463,0.9784454604833442,0.8467966573816156,0.9650793650793651,0.9020771513353115,0.9972553030434356,0.9764091058349069,2692,55,11,304,0.9388511426806672
Calibrated Logistic,20,0.4,3062,0.10287393860222077,0.11659046374918354,0.9790986283474853,0.8515406162464986,0.9650793650793651,0.9047619047619048,0.9972553030434356,0.9764091058349069,2694,53,11,304,0.9400123685837972
Calibrated Logistic,20,0.41,3062,0.10287393860222077,0.11593729588504245,0.9797517962116263,0.856338028169014,0.9650793650793651,0.9074626865671642,0.9972553030434356,0.9764091058349069,2696,51,11,304,0.9411764705882353
Calibrated Logistic,20,0.42,3062,0.10287393860222077,0.11593729588504245,0.9797517962116263,0.856338028169014,0.9650793650793651,0.9074626865671642,0.9972553030434356,0.9764091058349069,2696,51,11,304,0.9411764705882353
Calibrated Logistic,20,0.43,3062,0.10287393860222077,0.11528412802090138,0.9797517962116263,0.8583569405099151,0.9619047619047619,0.907185628742515,0.9972553030434356,0.9764091058349069,2697,50,12,303,0.9392436453812774
