Threshold 10,Threshold 20,Threshold 30,Total asymmetric cost,Total false positives,Total false negatives,Mean recall,Mean F1
0.2,0.09,0.09,439.0,292,13,0.9815575105897686,0.8658190669259188
0.2,0.09999999999999999,0.08,439.0,292,13,0.9815575105897686,0.8658190669259188
0.2,0.09999999999999999,0.09,439.0,292,13,0.9815575105897686,0.8658190669259188
0.2,0.09999999999999999,0.09999999999999999,439.0,292,13,0.9815575105897686,0.8658190669259188
0.060000000000000005,0.03,0.03,441.0,420,3,0.9978494623655915,0.8204549319266407
0.25,0.15,0.15,441.0,180,26,0.9692283821316079,0.9027222711829569
0.25,0.2,0.15,441.0,180,26,0.9692283821316079,0.9027222711829569
0.25,0.2,0.2,441.0,180,26,0.9692283821316079,0.9027222711829569
0.25,0.25,0.15,441.0,180,26,0.9692283821316079,0.9027222711829569
0.25,0.25,0.2,441.0,180,26,0.9692283821316079,0.9027222711829569
0.09999999999999999,0.05,0.02,442.0,428,2,0.9985663082437276,0.8318607001382882
0.09999999999999999,0.060000000000000005,0.02,442.0,428,2,0.9985663082437276,0.8318607001382882
0.09999999999999999,0.06999999999999999,0.02,442.0,428,2,0.9985663082437276,0.8318607001382882
0.09999999999999999,0.08,0.02,442.0,428,2,0.9985663082437276,0.8318607001382882
0.09999999999999999,0.09,0.02,442.0,428,2,0.9985663082437276,0.8318607001382882
0.09999999999999999,0.09999999999999999,0.02,442.0,428,2,0.9985663082437276,0.8318607001382882
0.04,0.04,0.04,442.0,414,4,0.9971326164874551,0.8178066338531208
0.2,0.06999999999999999,0.06999999999999999,442.0,295,13,0.9815575105897686,0.8650043559796826
0.2,0.08,0.06999999999999999,442.0,295,13,0.9815575105897686,0.8650043559796826
0.2,0.09,0.06999999999999999,442.0,295,13,0.9815575105897686,0.8650043559796826
0.2,0.09999999999999999,0.06999999999999999,442.0,295,13,0.9815575105897686,0.8650043559796826
0.3500000000000001,0.15,0.08,442.0,215,20,0.9722261012583594,0.8986439146896091
0.3500000000000001,0.15,0.09,442.0,215,20,0.9722261012583594,0.8986439146896091
0.3500000000000001,0.15,0.09999999999999999,442.0,215,20,0.9722261012583594,0.8986439146896091
0.3500000000000001,0.2,0.08,442.0,215,20,0.9722261012583594,0.8986439146896091
0.3500000000000001,0.2,0.09,442.0,215,20,0.9722261012583594,0.8986439146896091
0.3500000000000001,0.2,0.09999999999999999,442.0,215,20,0.9722261012583594,0.8986439146896091
0.3500000000000001,0.25,0.08,442.0,215,20,0.9722261012583594,0.8986439146896091
0.3500000000000001,0.25,0.09,442.0,215,20,0.9722261012583594,0.8986439146896091
0.3500000000000001,0.25,0.09999999999999999,442.0,215,20,0.9722261012583594,0.8986439146896091
0.15,0.03,0.03,445.0,394,5,0.9938090583251874,0.8385878119379737
0.3500000000000001,0.15,0.06999999999999999,445.0,218,20,0.9722261012583594,0.8978292037433729
0.3500000000000001,0.2,0.06999999999999999,445.0,218,20,0.9722261012583594,0.8978292037433729
0.3500000000000001,0.25,0.06999999999999999,445.0,218,20,0.9722261012583594,0.8978292037433729
0.09,0.05,0.02,446.0,432,2,0.9985663082437276,0.8287483440847557
0.09,0.060000000000000005,0.02,446.0,432,2,0.9985663082437276,0.8287483440847557
0.09,0.06999999999999999,0.02,446.0,432,2,0.9985663082437276,0.8287483440847557
0.09,0.08,0.02,446.0,432,2,0.9985663082437276,0.8287483440847557
0.09,0.09,0.02,446.0,432,2,0.9985663082437276,0.8287483440847557
0.05,0.03,0.03,447.0,426,3,0.9978494623655915,0.8161814276531364
0.25,0.08,0.08,447.0,285,14,0.9795373085695666,0.8708747318455293
0.25,0.09,0.08,447.0,285,14,0.9795373085695666,0.8708747318455293
0.25,0.09,0.09,447.0,285,14,0.9795373085695666,0.8708747318455293
0.25,0.09999999999999999,0.08,447.0,285,14,0.9795373085695666,0.8708747318455293
